"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"C2";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"560p";;;
2;"J2,J1";"PinHeader_1x08_P2.54mm_Horizontal";2;"Conn_01x08";;;
3;"RV2,RV4,RV3";"Potentiometer_Runtron_RM-065_Vertical";3;"500";;;
4;"RV1";"Potentiometer_Bourns_3339P_Vertical";1;"500K";;;
5;"C4,C5,C6";"CP_Radial_D7.5mm_P2.50mm";3;"220/10";;;
6;"C1,C3";"C_Disc_D10.0mm_W2.5mm_P5.00mm";2;"0.1u";;;
7;"D1";"D_T-1_P10.16mm_Horizontal";1;"1N5819";;;
8;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"1K";;;
9;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"560";;;
10;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"200K";;;
11;"U1";"DIP-8_W7.62mm";1;"EL1883";;;
12;"SW1";"FanPinHeader_1x03_P2.54mm_Vertical";1;"SW_SPDT";;;
