Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_Disc_D10.0mm_W2.5mm_P5.00mm",22.315000,21.735000,180.000000,top
"C2","560p","C_Disc_D4.7mm_W2.5mm_P5.00mm",21.045000,41.420000,180.000000,top
"C3","0.1u","C_Disc_D10.0mm_W2.5mm_P5.00mm",16.005000,3.320000,0.000000,top
"C4","220/10","CP_Radial_D7.5mm_P2.50mm",31.840000,38.880000,180.000000,top
"C5","220/10","CP_Radial_D7.5mm_P2.50mm",31.840000,29.990000,180.000000,top
"C6","220/10","CP_Radial_D7.5mm_P2.50mm",31.840000,21.100000,180.000000,top
"D1","1N5819","D_T-1_P10.16mm_Horizontal",24.855000,27.420000,180.000000,top
"J1","Conn_01x08","PinHeader_1x08_P2.54mm_Horizontal",11.577000,13.495000,180.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.54mm_Horizontal",48.293000,31.245000,0.000000,top
"R1","1K","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",18.505000,33.760000,0.000000,top
"R2","560","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",18.505000,37.570000,0.000000,top
"R3","200K","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",19.590000,7.130000,180.000000,top
"RV1","500K","Potentiometer_Bourns_3339P_Vertical",18.505000,12.860000,0.000000,top
"RV2","500","Potentiometer_Runtron_RM-065_Vertical",37.220000,36.380000,90.000000,top
"RV3","500","Potentiometer_Runtron_RM-065_Vertical",37.220000,27.490000,90.000000,top
"RV4","500","Potentiometer_Runtron_RM-065_Vertical",37.220000,18.600000,90.000000,top
"SW1","SW_SPDT","FanPinHeader_1x03_P2.54mm_Vertical",42.000000,7.765000,0.000000,top
"U1","EL1883","DIP-8_W7.62mm",26.770000,10.930000,0.000000,top
