"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"SW11";"[秋月]SW_TVGP01-G73BB";1;"K";;;
2;"SW23";"[秋月]SW_1273HIM-160G-G";1;"カン";;;
3;"SW26";"[秋月]SW_1273HIM-160G-G";1;"リーチ";;;
4;"SW27";"[秋月]SW_TVGP01-G73BB";1;"ロン";;;
5;"J1";"JST_NH_BS13P-SHF-1AA_P2.5_SideAngle";1;"JST_NH_BS13P";;;
6;"SW13";"[秋月]SW_TVGP01-G73BB";1;"M/YES";;;
7;"SW9";"[秋月]SW_TVGP01-G73BB";1;"I";;;
8;"SW12";"[秋月]SW_TVGP01-G73BB";1;"L";;;
9;"SW8";"[秋月]SW_TVGP01-G73BB";1;"H/8";;;
10;"SW22";"[秋月]SW_ts0606";1;"Last Chance";;;
11;"SW14";"[秋月]SW_TVGP01-G73BB";1;"N/NO";;;
12;"SW10";"[秋月]SW_TVGP01-G73BB";1;"J";;;
13;"SW24";"[秋月]SW_1273HIM-160G-G";1;"ポン";;;
14;"SW25";"[秋月]SW_1273HIM-160G-G";1;"チー";;;
15;"J3";"PinSocket_2x10_P2.54mm_Horizontal";1;"A-B_conn";;;
